ID,Age,MonthlyActiveDays,AvgSessionDuration,WorkoutsCompleted,SocialEngagementScore,SubscriptionTier,InAppPurchases,DeviceType,Churned,LifetimeValue,Cluster
1,30,6,11,3,19,Free,0.32,iOS,1,63.97,Cluster 4
2,48,4,44,8,23,Basic,23.78,iOS,1,197.34,Cluster 2
3,24,12,28,2,82,Free,41.38,iOS,1,395.08,Cluster 3
4,25,13,11,0,86,Basic,55.41,Android,0,203.84,Cluster 3
5,36,27,88,29,98,Premium,300.17,iOS,0,1882.55,Cluster 1
6,52,9,42,4,13,Premium,0.91,Android,1,79.76,Cluster 2
7,46,6,23,5,12,Free,22.06,Android,1,2.13,Cluster 2
8,38,29,85,20,83,Premium,126.23,Android,0,1399.96,Cluster 1
9,47,7,25,8,27,Free,3.37,iOS,0,96.56,Cluster 2
10,36,26,65,25,99,Premium,312.06,Android,0,1999.01,Cluster 1
11,31,13,11,0,91,Free,12.63,iOS,1,277,Cluster 3
12,24,6,6,3,10,Free,3.55,Android,1,24.13,Cluster 4
13,31,27,79,27,83,Premium,215.23,Android,0,1901.47,Cluster 1
14,38,28,69,30,83,Premium,340.74,Android,0,1750.35,Cluster 1
15,36,9,21,8,23,Free,13.29,iOS,1,96.6,Cluster 2
16,25,5,21,2,6,Free,9.63,Android,1,2.08,Cluster 4
17,29,15,23,2,90,Free,38.91,iOS,1,157.76,Cluster 3
18,29,27,61,26,75,Premium,196.02,iOS,0,1653.68,Cluster 1
19,36,30,63,25,81,Premium,269.89,iOS,0,1150.54,Cluster 1
20,30,3,20,3,11,Free,0.13,iOS,1,17.8,Cluster 4
21,34,27,76,30,77,Premium,111.03,iOS,0,1100.56,Cluster 1
22,28,1,25,2,19,Basic,0.09,Android,1,18.25,Cluster 4
23,20,3,18,3,16,Free,7.72,Android,1,97.46,Cluster 4
24,42,8,22,8,20,Free,10.78,iOS,1,164.33,Cluster 2
25,27,4,8,1,8,Free,8.96,Android,1,89.18,Cluster 4
26,23,3,16,1,7,Free,6.18,iOS,1,25.24,Cluster 4
27,26,1,13,3,19,Free,6.7,iOS,1,12.66,Cluster 4
28,38,8,25,6,15,Free,13.33,iOS,1,58.73,Cluster 2
29,29,20,27,2,83,Free,59.09,iOS,1,353.79,Cluster 3
30,30,2,16,3,4,Free,5.21,iOS,0,80.86,Cluster 4
31,30,25,63,29,88,Premium,227.37,iOS,0,1860.69,Cluster 1
32,27,20,17,0,76,Free,49.47,iOS,1,335.4,Cluster 3
33,24,5,11,2,10,Free,6.27,iOS,1,91.66,Cluster 4
34,27,4,6,1,17,Basic,3.51,iOS,1,83.12,Cluster 4
35,27,1,25,3,13,Free,8.3,iOS,1,52.67,Cluster 4
36,20,5,23,1,6,Free,0.32,iOS,1,73.28,Cluster 4
37,50,10,26,7,10,Free,16.49,iOS,1,25.98,Cluster 2
38,44,4,26,8,29,Free,9.49,Android,0,91.9,Cluster 2
39,31,29,82,25,99,Premium,140.4,iOS,0,1199.1,Cluster 1
40,31,20,29,0,75,Free,42.17,Android,1,334.97,Cluster 3
41,29,16,21,2,94,Free,41.35,iOS,0,385.25,Cluster 3
42,38,5,37,7,22,Basic,8.58,Android,1,21.57,Cluster 2
43,26,13,29,1,91,Free,32.02,Android,0,397.23,Cluster 3
44,41,29,65,22,80,Premium,317.41,iOS,0,1962.74,Cluster 1
45,42,4,37,7,15,Free,29.16,Android,1,174.92,Cluster 2
46,39,8,29,6,22,Basic,18.94,iOS,1,134.11,Cluster 2
47,44,6,40,8,20,Free,7.56,Android,0,64.83,Cluster 2
48,31,10,13,1,82,Premium,29.76,iOS,1,105.5,Cluster 3
49,26,4,20,1,6,Free,5.54,Android,1,77.85,Cluster 4
50,24,12,30,0,90,Premium,26.12,Android,0,150.58,Cluster 3
51,41,6,34,6,30,Basic,9.14,Android,1,136.72,Cluster 2
52,39,9,33,4,14,Free,6.61,iOS,1,174.88,Cluster 2
53,19,2,17,3,15,Free,8.17,Android,0,89.01,Cluster 4
